company_name,ds,yhat,yhat_lower,yhat_upper
Tata Consultancy Services,2020-11-23,2692.2063550158314,2540.0880551608193,2838.337487150671
Tata Consultancy Services,2020-11-24,2703.4903675929095,2551.4960760372546,2853.0042883381348
Tata Consultancy Services,2020-11-25,2713.0322972307786,2566.6856087751744,2858.4157879130566
Tata Consultancy Services,2020-11-26,2718.4554608842636,2576.1386079722083,2873.5633590774614
Tata Consultancy Services,2020-11-27,2724.8146970311136,2563.974450530102,2878.3605173434053
Tata Consultancy Services,2020-12-01,2752.2698488899728,2610.038702486213,2898.937768774126
Tata Consultancy Services,2020-12-02,2759.8271206018976,2615.7141844010475,2911.143628750956
Tata Consultancy Services,2020-12-03,2762.389359055939,2613.6877320036256,2910.3826651207987
Tata Consultancy Services,2020-12-04,2765.959891278315,2624.2851474469826,2905.5227345279986
Tata Consultancy Services,2020-12-07,2776.5810043882475,2633.723956286292,2931.2238730631293
Tata Consultancy Services,2020-12-08,2783.7999184554956,2627.3389395072263,2928.306990128343
Tata Consultancy Services,2020-12-09,2789.5131569436444,2637.192621148567,2941.1189336973816
Tata Consultancy Services,2020-12-10,2791.413629588481,2642.7514420171165,2935.2239508826115
Tata Consultancy Services,2020-12-11,2794.6193365076992,2654.862520575552,2949.634639731837
Tata Consultancy Services,2020-12-14,2806.024071926603,2652.4397201364623,2960.3766960849084
Tata Consultancy Services,2020-12-15,2814.132391521933,2671.778200465976,2960.7244934973323
Tata Consultancy Services,2020-12-16,2821.0352313769326,2672.5162606921217,2975.5471170142905
Tata Consultancy Services,2020-12-17,2824.4084740211406,2667.6554087676104,2975.8478086707264
Tata Consultancy Services,2020-12-18,2829.3477026943115,2677.090759345349,2975.4243586804673
Tata Consultancy Services,2020-12-21,2847.2219222115964,2703.422877026903,3001.9654053547347
Tata Consultancy Services,2020-12-22,2857.791311636473,2716.830618578198,3016.5252883041703
Tata Consultancy Services,2020-12-23,2867.2406861173245,2708.036117294593,3008.302446240593
Tata Consultancy Services,2020-12-24,2873.202807137206,2728.650405402135,3037.4294549905667
Tata Consultancy Services,2020-12-28,2905.918076641922,2753.571050639482,3051.4782683705616
Tata Consultancy Services,2020-12-29,2918.637938963597,2766.439471118983,3059.78963838568
Tata Consultancy Services,2020-12-30,2930.030664884738,2782.462299197628,3081.8000458988204
Tata Consultancy Services,2020-12-31,2937.696232787234,2792.6465571616345,3093.8302951960554
Tata Consultancy Services,2021-01-01,2946.6577285070407,2800.853827474164,3090.890086078009
Tata Consultancy Services,2021-01-04,2974.3318332515855,2827.9986539456354,3118.9013642556442
Tata Consultancy Services,2021-01-05,2987.230912784359,2828.9854408564524,3140.3987751419345
Tata Consultancy Services,2021-01-06,2998.471366187831,2853.1238821712104,3151.4191480091918
Tata Consultancy Services,2021-01-07,3005.6577520059755,2856.452261860138,3155.4279168897065
Tata Consultancy Services,2021-01-08,3013.8233785996044,2868.919538794037,3157.394209889879
Tata Consultancy Services,2021-01-11,3037.3900216406296,2874.970169855188,3183.8043798250287
Tata Consultancy Services,2021-01-12,3048.429561070118,2907.3640375428763,3205.632867953266
Tata Consultancy Services,2021-01-13,3057.616084865596,2907.236240868919,3201.7690731076455
Tata Consultancy Services,2021-01-14,3062.5887908846225,2917.474520360628,3205.8302230507466
Tata Consultancy Services,2021-01-15,3068.417312621902,2907.2040273087287,3215.233823192404
Tata Consultancy Services,2021-01-18,3084.6031073520007,2945.134146782364,3231.557331353811
Tata Consultancy Services,2021-01-19,3093.179545356912,2955.627704934692,3231.4161388832113
Tata Consultancy Services,2021-01-20,3099.9572149586575,2955.7569561668197,3246.486784060997
Tata Consultancy Services,2021-01-21,3102.6043926181655,2956.859738209609,3250.315639958918
Tata Consultancy Services,2021-01-22,3106.215968195479,2960.55041318447,3248.5512779725354
Tata Consultancy Services,2021-01-25,3116.586647221631,2967.1352000031593,3267.0697265492495
